127.0.0.1 - - [21/Jul/2018:22:33:24 +0700] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2018:22:33:26 +0700] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2018:22:33:30 +0700] "GET /login HTTP/1.1" 200 2732
127.0.0.1 - - [21/Jul/2018:22:33:30 +0700] "GET /themes/inspinia/font-awesome/css/font-awesome.css HTTP/1.1" 200 30548
127.0.0.1 - - [21/Jul/2018:22:33:30 +0700] "GET /themes/inspinia/css/bootstrap.min.css HTTP/1.1" 200 114015
127.0.0.1 - - [21/Jul/2018:22:33:30 +0700] "GET /themes/inspinia/js/bootstrap.min.js HTTP/1.1" 200 34659
127.0.0.1 - - [21/Jul/2018:22:33:30 +0700] "GET /themes/inspinia/js/jquery-2.1.1.js HTTP/1.1" 200 84247
127.0.0.1 - - [21/Jul/2018:22:33:30 +0700] "GET /themes/inspinia/css/animate.css HTTP/1.1" 200 68411
127.0.0.1 - - [21/Jul/2018:22:33:30 +0700] "GET /themes/inspinia/css/style.css HTTP/1.1" 200 188094
127.0.0.1 - - [21/Jul/2018:22:33:47 +0700] "POST /login HTTP/1.1" 500 92000
127.0.0.1 - - [21/Jul/2018:22:34:05 +0700] "POST /login HTTP/1.1" 500 91902
127.0.0.1 - - [21/Jul/2018:22:34:05 +0700] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2018:22:34:43 +0700] "POST /login HTTP/1.1" 500 91958
127.0.0.1 - - [21/Jul/2018:22:34:43 +0700] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2018:22:35:06 +0700] "POST /login HTTP/1.1" 302 348
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /admin HTTP/1.1" 200 6971
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/css/bootstrap.min.css HTTP/1.1" 200 114015
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/css/animate.css HTTP/1.1" 200 68411
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia//font-awesome/css/font-awesome.css HTTP/1.1" 200 30548
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/css/plugins/toastr/toastr.min.css HTTP/1.1" 200 6882
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/js/bootstrap.min.js HTTP/1.1" 200 34659
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/css/style.css HTTP/1.1" 200 188094
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/css/custom.css HTTP/1.1" 200 256
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/css/plugins/dataTables/dataTables.tableTools.min.css HTTP/1.1" 200 6602
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/css/plugins/dataTables/dataTables.bootstrap.css HTTP/1.1" 200 5178
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/js/plugins/slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 4726
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/js/plugins/metisMenu/jquery.metisMenu.js HTTP/1.1" 200 4103
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/js/plugins/jeditable/jquery.jeditable.js HTTP/1.1" 200 24088
127.0.0.1 - - [21/Jul/2018:22:35:07 +0700] "GET /themes/inspinia/js/plugins/dataTables/dataTables.responsive.js HTTP/1.1" 200 32864
